Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Samsung,Samsung Galaxy A57,https://www.gsmarena.com/samsung_galaxy_a57_5g-14379.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a57.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, March 25","Available. Released 2026, April 9",161.5 x 76.8 x 6.9 mm (6.36 x 3.02 x 0.27 in),179.0,Glass,IP68,· Nano-SIM + eSIM · Nano-SIM + Nano-SIM + eSIM + eSIM (max 2 at a time),"Super AMOLED+, 120Hz, HDR10+, 1200 nits (HBM), 1900 nits (peak)",120,6.7,1080x2340,385,88.8,Gorilla Glass Victus+,"Android 16, up to 6 major Android upgrades, One UI 8.5",Exynos 1680 (4 nm),4,Octa-core (1x2.9 GHz Cortex-720 & 4x2.6 GHz Cortex-720 & 3x1.95 GHz Cortex-520),Xclipse 550,8,12,128,512,UFS 3.1,50.0,3,1.8,Yes,1/1.56,Yes,"Best Face, LED flash, panorama, HDR","4K@30fps, 1080p@30/60fps, gyro-EIS",12.0,Yes,,"4K@30fps, 1080p@30/60fps, 10-bit HDR","Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band or tri-band, Wi-Fi Direct",Yes,6.0,Type-C,No,"GPS, GALILEO, GLONASS, BDS, QZSS","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",5000,45,,No,Active use score 13:59h,489.99,346.0,529.0,46970,1001995,4411,1742,1309,-26.3,"Navy, Gray, Icyblue, Lilac","SM-A576B, SM-A576B/DS, SM-A576Q, SM-A576U1, SM-A576W, SM-A576Z, SM-A5760",0.85 W/kg (head) 1.20 W/kg (body),0.70 W/kg (head) 1.07 W/kg (body),No
Samsung,Samsung Galaxy A37,https://www.gsmarena.com/samsung_galaxy_a37_5g-14378.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a37.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, March 25","Available. Released 2026, April 9",162.9 x 78.2 x 7.4 mm (6.41 x 3.08 x 0.29 in),196.0,Glass,IP68,· Nano-SIM + eSIM · Nano-SIM + Nano-SIM + eSIM + eSIM (max 2 at a time),"Super AMOLED, 120Hz, 1200 nits (HBM), 1900 nits (peak)",120,6.7,1080x2340,385,86.5,Gorilla Glass Victus+,"Android 16, up to 6 major Android upgrades, One UI 8.5",Exynos 1480 (4 nm),4,Octa-core (4x2.75 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Xclipse 530,6,12,128,256,UFS 3.1,50.0,3,1.8,Yes,1/1.56,Yes,"LED flash, panorama, HDR","4K@30fps, 1080p@30/60fps, gyro-EIS",12.0,Yes,,"4K@30fps, 1080p@30fps, 10-bit HDR","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",Yes,5.4,Type-C,No,"GPS, GALILEO, GLONASS, BDS, QZSS","Fingerprint (under display, optical), accelerometer, gyro, compass",5000,45,,No,Active use score 13:49h,299.99,279.0,459.0,33800,697795,3345,1035,1246,-25.7,"Graygreen, Charkoal, White, Light Violet","SM-A376E, SM-A376E/DS, SM-A376B, SM-A376B/DS, SM-A376U, SM-A376U1, SM-A376W, SM-A3760",0.81 W/kg (head) 1.17 W/kg (body),0.72 W/kg (head) 1.14 W/kg (body),No
Samsung,Samsung Galaxy M17e,https://www.gsmarena.com/samsung_galaxy_m17e_5g-14534.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-m17e.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, March 17","Available. Released 2026, March 17",167.4 x 77.4 x 8.2 mm (6.59 x 3.05 x 0.32 in),199.0,Glass,IP54,Nano-SIM + Nano-SIM,"PLS LCD, 120Hz, 650 nits (typ), 800 nits (HBM)",120,6.7,720x1600,262,83.6,,"Android 16, up to 6 major Android upgrades, One UI 8",Mediatek Dimensity 6300 (6 nm),6,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,4,6,128,128,,50.0,2,1.8,No,,No,LED flash,1080p@30/60fps,8.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",No,5.3,Type-C,Yes,"GPS, GALILEO, GLONASS, BDS, QZSS","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",6000,25,,No,,,,,12499,,,,,,"Blitz Blue, Vibe Violet","SM-M076B, SM-M076B/DS",1.12 W/kg (head),1.23 W/kg (head) 1.29 W/kg (body),FM radio
Samsung,Samsung Galaxy S26 Ultra,https://www.gsmarena.com/samsung_galaxy_s26_ultra_5g-14320.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s26-ultra-new.jpg,GSM / CDMA / HSPA / EVDO / LTE / 5G,Yes,"2026, February 25","Available. Released 2026, March 06",163.6 x 78.1 x 7.9 mm (6.44 x 3.07 x 0.31 in),214.0,Glass,IP68,· Nano-SIM + Nano-SIM + eSIM + eSIM (max 2 at a time) - INT · Nano-SIM + eSIM + eSIM (max 2 at a time) - USA · Nano-SIM + Nano-SIM - CN,"Dynamic LTPO AMOLED 2X, 120Hz, HDR10+, 2600 nits (peak)",120,6.9,1440x3120,500,90.7,"Corning Gorilla Armor 2, Mohs level 6","Android 16, up to 7 major Android upgrades, One UI 8.5",Qualcomm SM8850-1-AD Snapdragon 8 Elite Gen 5 (3 nm),3,Octa-core (2x4.74 GHz Oryon V3 Phoenix L + 6x3.62 GHz Oryon V3 Phoenix M),Adreno 840 (1.3GHz),12,16,256,512,UFS 4.X,200.0,4,1.4,Yes,1/1.3,Yes,"Laser AF, Best Face, Horizon Lock, LED flash, auto-HDR, panorama","8K@24/30fps, 4K@30/60/120fps, 1080p@30/60/120/240fps, 10-bit HDR, HDR10+, stereo sound rec., gyro-EIS",12.0,Yes,"HDR, HDR10+","4K@30/60fps, 1080p@30fps","Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct",Yes,6.0,Type-C,No,"GPS, GLONASS, BDS, GALILEO, QZSS","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass, barometer",5000,60,25,Yes,Active use score 16:23h,1049.99,934.99,889.0,116490,2627986,11566,7744,1480,-25.9,"Cobalt Violet, Sky Blue, Black, White, Silver Shadow, Pink Gold","SM-S948B, SM-S948B/DS, SM-S948U, SM-S948U1, SM-S948W, SM-S948N, SM-S9480, SM-S948E, SM-S948E/DS",1.09 W/kg (head) 1.19 W/kg (body),1.28 W/kg (head) 1.35 W/kg (body),No
Samsung,Samsung Galaxy S26+,https://www.gsmarena.com/samsung_galaxy_s26+_5g-14457.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s26-plus.jpg,GSM / CDMA / HSPA / EVDO / LTE / 5G,Yes,"2026, February 25","Available. Released 2026, March 06",158.4 x 75.8 x 7.3 mm (6.24 x 2.98 x 0.29 in),190.0,Glass,IP68,· Nano-SIM + Nano-SIM + eSIM + eSIM (max 2 at a time) - INT · Nano-SIM + eSIM + eSIM (max 2 at a time) - USA · Nano-SIM + Nano-SIM - CN,"Dynamic LTPO AMOLED 2X, 120Hz, HDR10+, 2600 nits (peak)",120,6.7,1440x3120,516,90.7,Gorilla Glass Victus,"Android 16, up to 7 major Android upgrades, One UI 8.5",Qualcomm SM8850-1-AD Snapdragon 8 Elite Gen 5 (3 nm) - US/CN Exynos 2600 (2 nm) - ROW,3,Octa-core (2x4.74 GHz Oryon V3 Phoenix L + 6x3.62 GHz Oryon V3 Phoenix M) - US/CN 10-core (1x3.80GHz C1-Ultra & 3x3.25GHz C1-Pro & 6x2.75GHz C1-Pro) - ROW,Adreno 840 (1.3GHz) - US/CN Xclipse 960 - ROW,12,12,256,512,UFS 4.X,50.0,3,1.8,Yes,1/1.56,Yes,"Best Face, Horizon Lock, LED flash, auto-HDR, panorama","8K@24/30fps, 4K@30/60fps, 1080p@30/60/120/240fps, 10-bit HDR, HDR10+, stereo sound rec., gyro-EIS",12.0,Yes,"HDR, HDR10+","4K@30/60fps, 1080p@30fps","Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct",Yes,6.0,Type-C,No,"GPS, GLONASS, BDS, GALILEO, QZSS","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass, barometer",4900,45,20,Yes,Active use score 16:25h,1010.0,829.0,949.99,94999,2459298,10982,7138,1498,-26.2,"Cobalt Violet, Sky Blue, Black, White, Silver Shadow, Pink Gold","SM-S947B, SM-S947B/DS, SM-S947U, SM-S947U1, SM-S947W, SM-S947N, SM-S9470, SM-S947E, SM-S947E/DS",1.15 W/kg (head) 1.17 W/kg (body),0.78 W/kg (head) 1.22 W/kg (body),No
Samsung,Samsung Galaxy S26,https://www.gsmarena.com/samsung_galaxy_s26_5g-14456.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s26.jpg,GSM / CDMA / HSPA / EVDO / LTE / 5G,Yes,"2026, February 25","Available. Released 2026, March 06",149.6 x 71.7 x 7.2 mm (5.89 x 2.82 x 0.28 in),167.0,Glass,IP68,· Nano-SIM + Nano-SIM + eSIM + eSIM (max 2 at a time) - INT · Nano-SIM + eSIM + eSIM (max 2 at a time) - USA · Nano-SIM + Nano-SIM - CN,"Dynamic LTPO AMOLED 2X, 120Hz, HDR10+, 2600 nits (peak)",120,6.3,1080x2340,411,90.0,Gorilla Glass Victus,"Android 16, up to 7 major Android upgrades, One UI 8.5",Qualcomm SM8850-1-AD Snapdragon 8 Elite Gen 5 (3 nm) - US/CN Exynos 2600 (2 nm) - ROW,3,Octa-core (2x4.74 GHz Oryon V3 Phoenix L + 6x3.62 GHz Oryon V3 Phoenix M) - US/CN 10-core (1x3.80GHz C1-Ultra & 3x3.25GHz C1-Pro & 6x2.75GHz C1-Pro) - ROW,Adreno 840 (1.3GHz) - US/CN Xclipse 960 - ROW,12,12,128,512,UFS 4.X,50.0,3,1.8,Yes,1/1.56,Yes,"Best Face, Horizon Lock, LED flash, auto-HDR, panorama","8K@24/30fps, 4K@30/60fps, 1080p@30/60/120/240fps, 10-bit HDR, HDR10+, stereo sound rec., gyro-EIS",12.0,Yes,"HDR, HDR10+","4K@30/60fps, 1080p@30fps","Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct",Yes,5.4,Type-C,No,"GPS, GLONASS, BDS, GALILEO, QZSS","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass, barometer",4300,25,15,Yes,Active use score 15:20h,720.0,679.6,579.82,73123,2441481,10824,7230,1383,-26.7,"Cobalt Violet, Sky Blue, Black, White, Silver Shadow, Pink Gold","SM-S942B, SM-S942B/DS, SM-S942U, SM-S942U1, SM-S942W, SM-S942N, SM-S9420, SM-S942E, SM-S942E/DS",1.19 W/kg (head) 1.20 W/kg (body),1.21 W/kg (head) 1.10 W/kg (body),No
Samsung,Samsung Galaxy F70e,https://www.gsmarena.com/samsung_galaxy_f70e_5g-14459.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-f70e.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, February 09","Available. Released 2026, February 17",167.4 x 77.4 x 8.2 mm (6.59 x 3.05 x 0.32 in),199.0,Glass,IP54,Nano-SIM + Nano-SIM,"PLS LCD, 120Hz, 650 nits (typ), 800 nits (HBM)",120,6.7,720x1600,262,83.6,,"Android 16, up to 6 major Android upgrades, One UI 8",Mediatek Dimensity 6300 (6 nm),6,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,4,6,128,128,,50.0,2,1.8,No,,No,LED flash,1080p@30/60fps,8.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",No,5.3,Type-C,Yes,"GPS, GALILEO, GLONASS, BDS, QZSS","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",6000,25,,No,,,,,13148,,,,,,"Limelight Green, Spotlight Blue","SM-E076B, SM-E076B/DS",1.12 W/kg (head),1.23 W/kg (head) 1.29 W/kg (body),FM radio
Samsung,Samsung Galaxy A07,https://www.gsmarena.com/samsung_galaxy_a07_5g-14409.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a07-5g.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, January 13","Available. Released 2026, January 13",167.4 x 77.4 x 8.2 mm (6.59 x 3.05 x 0.32 in),199.0,Glass,IP54,Nano-SIM + Nano-SIM,"PLS LCD, 120Hz, 650 nits (typ), 800 nits (HBM)",120,6.7,720x1600,262,83.6,,"Android 16, up to 6 major Android upgrades, One UI 8",Mediatek Dimensity 6300 (6 nm),6,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,4,6,64,128,,50.0,2,1.8,No,,No,LED flash,1080p@30/60fps,8.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",No,5.3,Type-C,Yes,"GPS, GALILEO, GLONASS, BDS, QZSS","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",6000,25,,No,,,,,13900,,,,,,"Black, Light Violet","SM-A076B, SM-A076B/DS",1.12 W/kg (head),1.23 W/kg (head) 1.29 W/kg (body),FM radio
Samsung,Samsung Galaxy Z TriFold,https://www.gsmarena.com/samsung_galaxy_z_trifold_5g-14292.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-z-trifold-.jpg,GSM / CDMA / HSPA / EVDO / LTE / 5G,Yes,"2025, December 02. Released 2025, December 12",Discontinued,Unfolded: 159.2 x 214.1 x 3.9-4.2 mm Folded: 159.2 x 75 x 12.9 mm,309.0,Titanium,IP48,· Nano-SIM + Nano-SIM + eSIM + eSIM (max 2 at a time) · Nano-SIM + Nano-SIM + multiple eSIM (max 2 at a time) · Nano-SIM + Nano-SIM,"Tri-foldable Dynamic LTPO AMOLED 2X, 120Hz, HDR, 1600 nits (peak)",120,10.0,1584x2160,269,89.6,,"Android 16, One UI 8.5",Qualcomm SM8750-AC Snapdragon 8 Elite (3 nm),3,Octa-core (2x4.47 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830 (1200 MHz),16,16,512,512,UFS,200.0,3,1.7,Yes,1/1.3,Yes,"LED flash, HDR, panorama","8K@30fps, 4K@60fps, 1080p@60/120/240fps (gyro-EIS), 10-bit HDR, HDR10+",10.0,Yes,HDR,"4K@30/60fps, 1080p@30/60fps, gyro-EIS","Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct",Yes,5.4,Type-C,No,"GPS, GALILEO, GLONASS, BDS, QZSS","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",5600,45,15,Yes,,,,,,,,,,,Crafted Black,"SM-F968B, SM-F968B/DS, SM-D639B, SM-D639B/DS, SM-D639U, SM-D639U1, SM-D639N, SM-D6390",,1.18 W/kg (head) 1.49 W/kg (body),No
Samsung,Samsung Galaxy M17,https://www.gsmarena.com/samsung_galaxy_m17_5g-14221.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a17.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, October 10","Available. Released 2025, October 13",164.4 x 77.9 x 7.5 mm (6.47 x 3.07 x 0.30 in),192.0,Glass,IP54,Nano-SIM + Nano-SIM,"Super AMOLED, 90Hz, 1100 nits (HBM)",90,6.7,1080x2340,385,86.0,Gorilla Glass Victus,"Android 15, up to 6 major Android upgrades, One UI 7",Exynos 1330 (5 nm),5,Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68 MP2,4,8,128,128,,50.0,3,1.8,Yes,1/2.76,No,"LED flash, panorama, HDR","1080p@30fps, gyro-EIS",13.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Yes,5.3,Type-C,No,"GPS, GALILEO, GLONASS, BDS, QZSS","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",5000,25,,No,,,,,,,,,,,"Moonlight Silver, Sapphire Black","M-M176B, M-M176B/DS",0.64 W/kg (head),,No
Samsung,Samsung Galaxy F07,https://www.gsmarena.com/samsung_galaxy_f07-14205.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-f07.jpg,GSM / HSPA / LTE,No,"2025, October 04","Available. Released 2025, October 04",167.4 x 77.4 x 7.6 mm (6.59 x 3.05 x 0.30 in),184.0,Glass,IP54,Nano-SIM + Nano-SIM,"PLS LCD, 90Hz",90,6.7,720x1600,262,83.6,,"Android 15, up to 6 major Android upgrades, One UI 7",Mediatek Helio G99 (6 nm),6,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,4,4,64,64,,50.0,2,1.8,No,1/2.76,No,LED flash,1080p@30fps,8.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",No,5.3,Type-C,Yes,"GPS, GALILEO, GLONASS, BDS, QZSS","Fingerprint (side-mounted), accelerometer, proximity",5000,25,,No,,,,189.99,9988,,,,,,Green,"SM-E075F/DS, SM-E075F",0.24 W/kg (head),,FM radio
Samsung,Samsung Galaxy M07,https://www.gsmarena.com/samsung_galaxy_m07-14100.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-m07.jpg,GSM / HSPA / LTE,No,"2025, October 01","Available. Released 2025, October 01",167.4 x 77.4 x 7.6 mm (6.59 x 3.05 x 0.30 in),184.0,Glass,IP54,Nano-SIM + Nano-SIM,"PLS LCD, 90Hz",90,6.7,720x1600,262,83.6,,"Android 15, up to 6 major Android upgrades, One UI 7",Mediatek Helio G99 (6 nm),6,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,4,4,64,64,,50.0,2,1.8,No,1/2.76,No,LED flash,1080p@30fps,8.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",No,5.3,Type-C,Yes,"GPS, GALILEO, GLONASS, BDS, QZSS","Fingerprint (side-mounted), accelerometer, proximity",5000,25,,No,,54.98,,94.99,9499,,,,,,Black,"SM-M075F/DS, SM-M075F",0.24 W/kg (head),,FM radio
Samsung,Samsung Galaxy A17 4G,https://www.gsmarena.com/samsung_galaxy_a17-14157.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a17.jpg,GSM / HSPA / LTE,No,"2025, September 18","Available. Released 2025, September 18",164.4 x 77.9 x 7.5 mm (6.47 x 3.07 x 0.30 in),190.0,Glass,IP54,· Nano-SIM · Nano-SIM + Nano-SIM,"Super AMOLED, 90Hz",90,6.7,1080x2340,385,86.0,Gorilla Glass Victus+,"Android 15, up to 6 major Android upgrades, One UI 7",Mediatek Helio G99 (6 nm),6,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,4,8,128,256,,50.0,3,1.8,Yes,1/2.76,No,"LED flash, panorama, HDR",1080p@30fps,13.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Yes,5.3,Type-C,No,"GPS, GALILEO, GLONASS, BDS, QZSS","Fingerprint (side-mounted), accelerometer, compass",5000,25,,No,,145.0,143.0,118.0,,,,,,,"Black, Gray, Light blue","SM-A175F, SM-A175F/DS, SM-A175M, SM-A175M/DS, SM-A175F/DSB",,0.37 W/kg (head) 1.18 W/kg (body),FM radio (market/region dependent)
Samsung,Samsung Galaxy Tab A11+,https://www.gsmarena.com/samsung_galaxy_tab_a11+-14192.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-a11-plus.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, September 29","Available. Released 2025, November 02",257.1 x 168.7 x 6.9 mm (10.12 x 6.64 x 0.27 in),477.0,,,Nano-SIM + eSIM (cellular model only),"TFT LCD, 90Hz",90,11.0,1200x1920,206,80.9,Mohs level 5,"Android 16, up to 7 major Android upgrades, One UI 8",Mediatek Dimensity 7300 (4 nm) Mediatek MT8775 - USA,4,Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,6,8,128,256,,8.0,1,,No,,No,,1080p@30fps,5.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",No,5.3,Type-C,Yes,"GPS, GLONASS, GALILEO, BDS, QZSS - cellular model only","Accelerometer, gyro, proximity (accessories only), compass",7040,25,,No,,209.99,,,,,,,,,"Gray, Silver","SM-X230, SM-X236B",1.05 W/kg (body),0.31 W/kg (body),No
Samsung,Samsung Galaxy Tab A11,https://www.gsmarena.com/samsung_galaxy_tab_a11-14141.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-a11.jpg,GSM / HSPA / LTE,No,"2025, September 12","Available. Released 2025, September",211 x 124.7 x 8 mm (8.31 x 4.91 x 0.31 in),335.0,,,Nano-SIM (cellular model only),"TFT LCD, 90Hz",90,8.7,800x1340,179,81.7,Mohs level 5,"Android 15, upgradable to Android 16, One UI 8, up to 7 major Android upgrades",Mediatek Helio G99 (6 nm),6,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,4,8,64,128,,8.0,1,,No,,No,,1080p@30fps,5.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",No,5.3,Type-C,Yes,"GPS, GLONASS, BDS, GALILEO, QZSS - cellular model only","Accelerometer, proximity, compass",5100,15,,No,,,,,,,,,,,"Gray, Silver","SM-X133, SM-X135, SM-X135F",0.60 W/kg (head) 1.37 W/kg (body),0.29 W/kg (body),No
Samsung,Samsung Galaxy F17,https://www.gsmarena.com/samsung_galaxy_f17_5g-14107.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-f17-5g-.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, September 11","Available. Released 2025, September 14",164.4 x 77.9 x 7.5 mm (6.47 x 3.07 x 0.30 in),192.0,Glass,IP54,Nano-SIM + Nano-SIM,"Super AMOLED, 90Hz, 1100 nits (HBM)",90,6.7,1080x2340,385,86.0,Gorilla Glass Victus,"Android 15, up to 6 major Android upgrades, One UI 7",Exynos 1330 (5 nm),5,Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68 MP2,4,8,128,128,,50.0,3,1.8,Yes,1/2.76,No,"LED flash, panorama, HDR","1080p@30fps, gyro-EIS",13.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Yes,5.3,Type-C,No,"GPS, GALILEO, GLONASS, BDS, QZSS","Fingerprint (side-mounted), accelerometer, gyro, compass",5000,25,,No,,,,,15429,,,,,,"Black, Violet",SM-E176B/DS,0.64 W/kg (head),,No
Samsung,Samsung Galaxy S25 FE,https://www.gsmarena.com/samsung_galaxy_s25_fe_5g-14042.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s25-fe.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, September 04","Available. Released 2025, September 04",161.3 x 76.6 x 7.4 mm (6.35 x 3.02 x 0.29 in),190.0,Glass,IP68,· Nano-SIM · Nano-SIM + Nano-SIM · Nano-SIM + eSIM · eSIM + eSIM,"Dynamic LTPO AMOLED 2X, 120Hz, HDR10+, 1900 nits (peak)",120,6.7,1080x2340,385,89.2,Gorilla Glass Victus+,"Android 16, up to 7 major Android upgrades, One UI 8",Exynos 2400 (4 nm),4,10-core (1x3.2GHz Cortex-X4 & 2x2.9GHz Cortex-A720 & 3x2.6GHz Cortex-A720 & 4x1.95GHz Cortex-A520),Xclipse 940,8,8,128,512,UFS 4.0,50.0,3,1.8,Yes,1/1.57,Yes,"LED flash, HDR, panorama, Best Face","8K@24/30fps, 4K@30/60/120fps, 1080p@30/60/120/240fps; gyro-EIS, HDR10+",12.0,Yes,,"4K@30/60fps, 1080p@30/60fps; gyro-EIS, HDR10+","Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band or tri-band (market/region dependent), Wi-Fi Direct",Yes,5.4,Type-C,No,"GPS, GLONASS, GALILEO, BDS","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer",4900,45,15,Yes,Active use score 11:57h,310.0,459.99,425.0,47990,1521140,6948,4262,1247,-25.6,"Icyblue, Jetblack, Navy, White","SM-S731B, SM-S731B/DS",,0.54 W/kg (head) 1.57 W/kg (body),No
Samsung,Samsung Galaxy Tab S11 Ultra,https://www.gsmarena.com/samsung_galaxy_tab_s11_ultra_5g-14057.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-s11-ultra.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, September 04","Available. Released 2025, September 04",326.3 x 208.5 x 5.1 mm (12.85 x 8.21 x 0.20 in),692.0,Glass,IP68,Nano-SIM + eSIM (cellular model only),"Dynamic AMOLED 2X, 120Hz, HDR10+, 1000 nits (typ), 1600 nits (peak)",120,14.6,1848x2960,239,90.8,Mohs level 5,"Android 16, One UI 8.5",Mediatek Dimensity 9400+ (3 nm),3,Octa-core (1x3.63 GHz Cortex-X925 & 3x3.3 GHz Cortex-X4 & 4x2.4 GHz Cortex-A720),Immortalis-G925,12,16,128,512,UFS,13.0,2,2.0,No,1/3.4,Yes,"LED flash, HDR, panorama","4K@30fps, 1080p@30fps",12.0,Yes,HDR,"4K@30fps, 1080p@30fps","Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct",No,5.4,Type-C,No,"GPS, GLONASS, BDS, GALILEO","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",11600,45,,No,Active use score 13:25h,1059.5,,,,,,,,-20.9,"Moonstone Gray, Platinum Silver","SM-X930, SM-X936B, SM-X936N, SM-X930N",,0.80 W/kg (body),No
